materia,grupo,aula
1501,B0|8|50|||20251,
1501,C0|8|50|||20251,
1501,CF|8|50|||20251,
1501,D|8|50|||20251,
1501,D0|8|50|||20251,
1501,DB|8|50|||20251,
1501,E|8|50|||20251,
1502,D|8|50|||20251,
1503,AN|8|50|||20251,
1503,C1|8|50|||20251,
1503,D|8|50|||20251,
1503,F|8|50|||20251,
1506,C1|8|50|||20251,
2502,D|8|50|||20251,
2502,E|8|50|||20251,
2502,F|8|50|||20251,
2502,G|8|50|||20251,
2503,D|8|50|||20251,
2504,D|8|50|||20251,
3501,D|8|50|||20251,
3501,E|8|50|||20251,
3501,G|8|50|||20251,
3501,H|8|50|||20251,
3501,I|8|50|||20251,
3501,J|8|50|||20251,
3501,K|8|50|||20251,
3501,L|8|50|||20251,
3502,A0|8|50|||20251,
3502,B0|8|50|||20251,
3502,D|8|50|||20251,
3502,E|8|50|||20251,
3502,F|8|50|||20251,
3502,G|8|50|||20251,
3502,H|8|50|||20251,
3502,I|8|50|||20251,
3502,J|8|50|||20251,
3502,K|8|50|||20251,
3502,L|8|50|||20251,
3502,M|8|50|||20251,
3502,N|8|50|||20251,
3502,O|8|50|||20251,
3502,P|8|50|||20251,
3502,Q|8|50|||20251,
3502,R|8|50|||20251,
3502,S|8|50|||20251,
3502,T|8|50|||20251,
3502,U|8|50|||20251,
3502,V|8|50|||20251,
3502,W|8|50|||20251,
3502,X|8|50|||20251,
3502,Y|8|50|||20251,
3506,D|8|50|||20251,
4501,D|8|50|||20251,
4501,E|8|50|||20251,
4501,F|8|50|||20251,
4501,G|8|50|||20251,
4501,H|8|50|||20251,
4501,I|8|50|||20251,
4501,J|8|50|||20251,
4501,K|8|50|||20251,
4501,L|8|50|||20251,
4501,M|8|50|||20251,
4501,P|8|50|||20251,
4501,Q|8|50|||20251,
4501,R|8|50|||20251,
4504,D|8|50|||20251,
4504,E|8|50|||20251,
4505,D|8|50|||20251,
4505,E|8|50|||20251,
5502,A1|8|50|||20251,
5502,BC|8|50|||20251,
5502,E|8|50|||20251,
6505,D|8|50|||20251,
6505,E|8|50|||20251,
8505,D|8|50|||20251,
850M,D|8|50|||20251,
1502,B|8|50|||20251~S1,
3503,B|8|50|||20251~S1,
3506,B|8|50|||20251~S1,
4504,B|8|50|||20251~S1,
4506,B|8|50|||20251~S1,
5504,B|8|50|||20251~S1,
6502,B|8|50|||20251~S1,
6504,B|8|50|||20251~S1,
7502,B|8|50|||20251~S1,
8504,B|8|50|||20251~S1,
2503,B|8|50|||20251~S1,
3501,B|8|50|||20251~S1,
3504,B|8|50|||20251~S1,
4502,B|8|50|||20251~S1,
6501,B|8|50|||20251~S1,
7501,B|8|50|||20251~S1,
7506,B|8|50|||20251~S1,
750I,B|8|50|||20251~S1,
8505,B|8|50|||20251~S1,
850J,B|8|50|||20251~S1,
850N,B|8|50|||20251~S1,
9505,B|8|50|||20251~S1,
2502,B|8|50|||20251~S2,
3505,B|8|50|||20251~S2,
4503,B|8|50|||20251~S2,
4505,B|8|50|||20251~S2,
5503,B|8|50|||20251~S2,
5505,B|8|50|||20251~S2,
6503,B|8|50|||20251~S2,
6505,B|8|50|||20251~S2,
7503,B|8|50|||20251~S2,
1501,B|8|50|||20251~S2,
1506,B|8|50|||20251~S2,
2504,B|8|50|||20251~S2,
3502,B|8|50|||20251~S2,
4501,B|8|50|||20251~S2,
5506,B|8|50|||20251~S2,
6506,B|8|50|||20251~S2,
7504,B|8|50|||20251~S2,
750F,B|8|50|||20251~S2,
8501,B|8|50|||20251~S2,
8509,B|8|50|||20251~S2,
850L,B|8|50|||20251~S2,
850O,B|8|50|||20251~S2,
1502,A|8|50|||20251~S1,
3503,A|8|50|||20251~S1,
3506,A|8|50|||20251~S1,
4504,A|8|50|||20251~S1,
5503,A|8|50|||20251~S1,
5505,A|8|50|||20251~S1,
6503,A|8|50|||20251~S1,
7502,A|8|50|||20251~S1,
8504,A|8|50|||20251~S1,
1506,A|8|50|||20251~S1,
2504,A|8|50|||20251~S1,
3502,A|8|50|||20251~S1,
4501,A|8|50|||20251~S1,
5502,A|8|50|||20251~S1,
6501,A|8|50|||20251~S1,
750F,A|8|50|||20251~S1,
750I,A|8|50|||20251~S1,
8505,A|8|50|||20251~S1,
850K,A|8|50|||20251~S1,
850M,A|8|50|||20251~S1,
850O,A|8|50|||20251~S1,
2502,A|8|50|||20251~S2,
3505,A|8|50|||20251~S2,
4503,A|8|50|||20251~S2,
4506,A|8|50|||20251~S2,
5504,A|8|50|||20251~S2,
6502,A|8|50|||20251~S2,
6504,A|8|50|||20251~S2,
7503,A|8|50|||20251~S2,
1503,A|8|50|||20251~S2,
1505,A|8|50|||20251~S2,
2503,A|8|50|||20251~S2,
3501,A|8|50|||20251~S2,
3504,A|8|50|||20251~S2,
4502,A|8|50|||20251~S2,
5506,A|8|50|||20251~S2,
7504,A|8|50|||20251~S2,
750G,A|8|50|||20251~S2,
8501,A|8|50|||20251~S2,
850J,A|8|50|||20251~S2,
850L,A|8|50|||20251~S2,
850N,A|8|50|||20251~S2,
0500,A|8|50|||20251~S2,
1502,C|8|50|||20251~S1,
3503,C|8|50|||20251~S1,
3506,C|8|50|||20251~S1,
4505,C|8|50|||20251~S1,
5504,C|8|50|||20251~S1,
6502,C|8|50|||20251~S1,
6504,C|8|50|||20251~S1,
7503,C|8|50|||20251~S1,
1501,C|8|50|||20251~S1,
2503,C|8|50|||20251~S1,
3501,C|8|50|||20251~S1,
4501,C|8|50|||20251~S1,
6501,C|8|50|||20251~S1,
7501,C|8|50|||20251~S1,
7506,C|8|50|||20251~S1,
8505,C|8|50|||20251~S1,
2502,C|8|50|||20251~S2,
3505,C|8|50|||20251~S2,
4504,C|8|50|||20251~S2,
4506,C|8|50|||20251~S2,
5505,C|8|50|||20251~S2,
6503,C|8|50|||20251~S2,
6505,C|8|50|||20251~S2,
8504,C|8|50|||20251~S2,
1503,C|8|50|||20251~S2,
2504,C|8|50|||20251~S2,
3502,C|8|50|||20251~S2,
5506,C|8|50|||20251~S2,
6506,C|8|50|||20251~S2,
7504,C|8|50|||20251~S2,
8501,C|8|50|||20251~S2,
850M,C|8|50|||20251~S2,
